대여소 그룹,팀명,대여소 명,대여 건수
강동구,천호1팀,3661. 명일동신동아아파트 앞,550
강동구,천호1팀,3654. 강동리버스트4단지아파트 405동 앞,550
금천구,천왕3팀,1868.우리은행 시흥남자동화점 앞,551
강북구,도봉4팀,1558.강북문화정보도서관,555
동대문구,훈련원3팀,600. 휘경2동 주민센터,555
서초구,이수1팀,2256.양재동 꽃시장 입구,555
서초구,이수1팀,2285. LH서초3단지 301동 맞은편,555
송파구,천호2팀,4892. 성내유수지 체육공원,557
도봉구,도봉3팀,1714. 도봉문화정보도서관 삼거리,557
강동구,천호1팀,3682. 길동 동호빌딩,558
중랑구,중랑3팀,4807. 라코지스테이 앞,560
영등포구,영남3팀,4579. 국회의사당 본관,561
중구,세종로 4팀,435. SK 남산빌딩,561
은평구,상암2팀,978.녹번 힐스테이트상가앞,562
서초구,이수1팀,2270. 서초포레스타 7단지,563
중랑구,중랑3팀,1418. 새솔초등학교,563
마포구,상암1팀,127. 현대벤처빌 앞,565
동대문구,훈련원4팀,679.전농SK아파트 앞,565
은평구,상암3팀,4683. 은평 성모병원 사거리,566
강남구,학여울1팀,2382. 역삼동 sk뷰 501동앞,567
양천구,천왕1팀,767.신정숲속마을아파트,568
서대문구,상암2팀,3105. 홍은센트레빌 아파트 앞,568
중랑구,중랑3팀,1436. 동원베네스트 건물 앞,568
강남구,이수3팀,2406. 논현동 광명빌딩 앞,571
은평구,상암3팀,902. 진관동 은빛초등학교,572
종로구,훈련원1팀,4703. 쌍용아파트2단지 정문,572
성북구,훈련원2팀,1366. 일신초등학교 옆,572
강남구,학여울1팀,2380. 삼성동베이직하우스앞,573
중구,훈련원1팀,434. 신당 래미안 버스정류장,574
강북구,도봉4팀,1522. 월드전기조명인테리어(우이동),574
노원구,도봉2팀,1660. 서울시립과학관,581
은평구,상암3팀,4667. 폭포동입구 교차로,581
중랑구,중랑3팀,1435. 능산삼거리,583
서대문구,상암1팀,173. 서대문역 8번출구 앞,583
서초구,이수2팀,2223. 방배래미안 정문 앞,584
금천구,천왕3팀,1858. 500번·507번 버스 종점 앞,584
중구,세종로 4팀,442.서울역 서부,585
양천구,개화4팀,4516. 신진빌라,585
구로구,천왕1팀,2812.항동프라자,585
중랑구,중랑3팀,4827. 신내SK V1센터 앞,586
강동구,천호1팀,3663. 암사정수센터교차로(강동롯데캐슬퍼스트아파트),589
서초구,이수3팀,2535.신반포역 3번출구 뒤,590
중구,세종로2팀,469.회현역 1번출구,591
용산구,세종로3팀,4622. 한강중학교 앞 버스정류장,594
도봉구,도봉3팀,1717. 시립창동운동장 입구,595
강남구,학여울1팀,2311. 학동로 래미안 아파트 앞,596
동대문구,훈련원4팀,621. 동대문중학교 옆,598
강남구,학여울2팀,3644. 상록수아파트,599
양천구,개화2팀,4519. 양원보도육교,600
중랑구,중랑3팀,4821. 동원초등학교 정문 앞,602
마포구,상암1팀,4247. 서울서부지방법원등기국앞,603
용산구,세종로3팀,822. 이촌1동 마을공원,604
서초구,이수1팀,2241.양재전화국 사거리,607
관악구,이수2팀,3804. 낙성대공원,608
